id,average_weight,mechanics
1,4.3499,"Area Control / Area Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection"
10,2.1642,"Card Drafting,Hand Management,Point to Point Movement,Route/Network Building"
1000,2.5,"Auction/Bidding,Dice Rolling"
10000,1,"Dice Rolling,Set Collection"
100000,0,Set Collection
100004,0,Set Collection
100005,0,Set Collection
100009,0,Roll / Spin and Move
10001,1,"Pick-up and Deliver,Point to Point Movement,Roll / Spin and Move"
100011,0,
100012,1,Memory
100014,2,Modular Board
100015,2,Dice Rolling
100016,0,
10002,0,"Pattern Recognition,Point to Point Movement,Roll / Spin and Move,Set Collection"
100029,0,"Pattern Recognition,Roll / Spin and Move,Set Collection"
10003,1,
100036,2,"Action Point Allowance System,Hand Management,Trick-taking"
100039,0,Hex-and-Counter
10004,0,"Pick-up and Deliver,Point to Point Movement,Roll / Spin and Move"
100046,0,Dice Rolling
100047,0,
100048,0,
100049,1,
10005,0,"Pattern Building,Tile Placement"
100052,2.3333,
100053,0,Roll / Spin and Move
100058,2.3333,Grid Movement
100059,1,Area Movement
10006,0,
100065,0,"Dice Rolling,Hand Management,Roll / Spin and Move"
10007,0,Betting/Wagering
10008,2.25,"Hex-and-Counter,Simulation"
100087,0,"Route/Network Building,Tile Placement"
100089,1.8462,"Dice Rolling,Modular Board,Tile Placement"
10009,2,"Dice Rolling,Set Collection"
100090,1,
100092,2.7949,"Co-operative Play,Hand Management,Variable Player Powers"
100094,1,
100097,0,"Dice Rolling,Pick-up and Deliver,Simulation"
100099,3,"Pattern Recognition,Trick-taking"
1001,1.2727,"Dice Rolling,Roll / Spin and Move"
10010,1,Simultaneous Action Selection
100104,1.6667,Point to Point Movement
100109,0,Pattern Building
10011,3,
100110,0,Hand Management
100111,0,"Line Drawing,Paper-and-Pencil,Roll / Spin and Move"
100112,0,
100115,0,"Roll / Spin and Move,Set Collection"
10012,1,Pick-up and Deliver
10013,3.3333,"Area Movement,Player Elimination,Simultaneous Action Selection"
10014,2.3333,"Hex-and-Counter,Simulation"
10015,0,Roll / Spin and Move
10016,1.3333,
100164,0,
100166,1.875,"Grid Movement,Modular Board,Variable Player Powers"
100167,0,Point to Point Movement
100168,2,Hex-and-Counter
100169,2.1579,Area Movement
10017,0,Dice Rolling
100172,2.4118,"Area Control / Area Influence,Hand Management"
100173,2.75,"Card Drafting,Deck / Pool Building,Hand Management"
100177,0,
100179,0,
10018,0,
100182,0,
100184,0,
100186,0,
100187,0,Set Collection
10019,1,
100193,0,"Line Drawing,Paper-and-Pencil"
100194,0,Paper-and-Pencil
1002,2.6792,"Trick-taking,Variable Player Powers"
10020,1,
100205,0,Memory
100206,3,"Partnerships,Trick-taking"
10021,1,Auction/Bidding
100213,0,"Card Drafting,Dice Rolling,Stock Holding"
100214,3,"Area Control / Area Influence,Dice Rolling,Worker Placement"
100216,0,"Dice Rolling,Paper-and-Pencil"
100218,0,"Auction/Bidding,Roll / Spin and Move,Set Collection,Trading"
10022,3.6,"Area Movement,Simulation"
100221,3,"Card Drafting,Deck / Pool Building,Hand Management,Pattern Building"
100222,2.2857,"Card Drafting,Deck / Pool Building,Hand Management"
10023,0,Memory
100230,0,
100232,0,Simulation
100234,1,Card Drafting
100237,2.75,Hand Management
10024,0,Roll / Spin and Move
100243,2.6667,"Card Drafting,Hand Management"
100244,2.5,"Card Drafting,Hand Management"
100245,2,"Card Drafting,Hand Management"
100247,0,
10025,0,Pattern Recognition
100251,2,
100254,0,"Acting,Roll / Spin and Move"
100256,0,"Role Playing,Variable Player Powers"
10026,1,"Memory,Pick-up and Deliver"
10027,0,Memory
100271,0,Roll / Spin and Move
100275,1.6667,"Point to Point Movement,Route/Network Building,Set Collection"
100277,2,"Dice Rolling,Modular Board,Point to Point Movement,Simulation,Variable Player Powers"
100278,1,Pattern Recognition
10028,1.5,"Memory,Set Collection"
100281,3,"Area Movement,Dice Rolling,Secret Unit Deployment,Simultaneous Action Selection,Variable Player Powers"
10029,0,"Pick-up and Deliver,Set Collection"
100298,2.5,"Betting/Wagering,Dice Rolling,Set Collection"
1003,2.1667,
100301,0,Hand Management
100302,0,
10031,0,Area Enclosure
10032,2,"Set Collection,Variable Player Powers"
100321,0,"Hand Management,Trick-taking"
10033,2.5,"Auction/Bidding,Dice Rolling,Roll / Spin and Move,Set Collection,Stock Holding,Trading"
100333,0,"Memory,Pattern Recognition"
10034,1,"Point to Point Movement,Simultaneous Action Selection"
100342,1.5,"Co-operative Play,Dice Rolling,Variable Player Powers"
100343,0,Pattern Building
10035,1,
100358,0,"Area Control / Area Influence,Auction/Bidding"
100359,0,"Area Control / Area Influence,Auction/Bidding"
10036,1,"Hand Management,Pick-up and Deliver"
100367,1.5,"Action Point Allowance System,Area Movement,Dice Rolling,Modular Board,Paper-and-Pencil,Role Playing,Storytelling,Tile Placement"
10037,1,"Pick-up and Deliver,Point to Point Movement,Tile Placement"
100374,4.1667,"Area Control / Area Influence,Area Movement,Modular Board,Variable Player Powers"
100375,0,
100376,0,
100377,0,"Dice Rolling,Role Playing,Variable Player Powers"
100378,0,
10038,3.1667,Hex-and-Counter
100380,0,Dice Rolling
100382,0,Pattern Recognition
100386,0,"Dice Rolling,Line Drawing"
100388,0,"Dice Rolling,Pattern Building"
100389,0,
10039,0,Set Collection
100393,0,Dice Rolling
100395,0,
1004,2.2857,"Dice Rolling,Hand Management,Memory,Roll / Spin and Move"
10040,0,"Point to Point Movement,Roll / Spin and Move"
10041,0,"Auction/Bidding,Roll / Spin and Move,Set Collection,Trading"
100415,0,
100416,0,
100419,0,Set Collection
10042,0,"Point to Point Movement,Roll / Spin and Move,Set Collection"
100420,0,"Dice Rolling,Paper-and-Pencil,Set Collection"
100421,0,Pattern Building
100422,3,Variable Player Powers
100423,2.3545,"Co-operative Play,Dice Rolling,Modular Board,Variable Player Powers"
100425,2,Simultaneous Action Selection
100426,0,Hex-and-Counter
10043,1.2143,"Modular Board,Roll / Spin and Move"
100431,0,Simulation
100432,0,Roll / Spin and Move
100433,0,
100436,3.5,Simulation
10044,0,Tile Placement
100440,1,
100441,0,Roll / Spin and Move
100442,0,Roll / Spin and Move
100443,0,Area Enclosure
100445,0,Area Enclosure
100447,1,"Co-operative Play,Memory"
100448,0,
100449,0,"Dice Rolling,Roll / Spin and Move,Variable Phase Order,Variable Player Powers"
10045,0,Memory
100450,0,"Memory,Set Collection"
100452,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100454,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100455,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100456,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100457,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100458,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100459,0,"Card Drafting,Variable Player Powers"
10046,0,"Point to Point Movement,Roll / Spin and Move,Set Collection"
100460,0,"Card Drafting,Variable Player Powers"
100461,0,"Card Drafting,Variable Player Powers"
100463,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100465,2,Dice Rolling
100466,0,Hand Management
100467,0,Hand Management
100468,0,Hand Management
100469,0,Roll / Spin and Move
100470,0,Acting
100471,0,"Hand Management,Pattern Building"
100473,1.8333,"Pick-up and Deliver,Route/Network Building"
10048,0,Acting
100480,3.3333,"Area Enclosure,Paper-and-Pencil,Pattern Building"
100489,1,"Hand Management,Tile Placement"
10049,0,"Point to Point Movement,Roll / Spin and Move,Set Collection"
100494,1,Roll / Spin and Move
1005,2,"Co-operative Play,Roll / Spin and Move"
10050,1,"Point to Point Movement,Roll / Spin and Move,Set Collection"
10051,0,"Memory,Roll / Spin and Move,Set Collection"
10052,1.3333,
100526,0,Role Playing
100527,2.5135,"Dice Rolling,Modular Board,Variable Player Powers"
100529,0,"Dice Rolling,Hand Management"
10053,0,"Pattern Recognition,Pick-up and Deliver"
100534,0,"Action Point Allowance System,Variable Player Powers"
